"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id_version","ensembl_gene_id","external_gene_name"
"1",489.195766248121,-3.29904544345959,0.222324849965834,-13.89863607334,6.45598942457292e-44,9.25918003272248e-40,"ENSMUSG00000110720.1","ENSMUSG00000110720","Gm46223"
"2",9166.35022348395,1.9314843751829,0.168059827537217,11.596635716513,4.28597901563843e-31,3.07347555211432e-27,"ENSMUSG00000039456.10","ENSMUSG00000039456","Morc3"
"3",7911.04961298861,2.00130822913643,0.178836886952138,11.3507473945529,7.35314549084584e-30,3.5152937543237e-26,"ENSMUSG00000039515.11","ENSMUSG00000039515","Ptpa"
"4",1368.67354709683,1.70111927325565,0.192900139753853,8.97919355519585,2.7275857009416e-19,9.77975853072609e-16,"ENSMUSG00000030301.17","ENSMUSG00000030301","Ccdc91"
"5",14166.3828165817,1.52008402677897,0.17123541284826,8.94694333877046,3.65461744320692e-19,1.04829046740947e-15,"ENSMUSG00000030341.17","ENSMUSG00000030341","Tnfrsf1a"
"6",14780.856369846,1.50690201138629,0.171346512743187,8.86256013847357,7.81976053213768e-19,1.86918342586531e-15,"ENSMUSG00000006005.18","ENSMUSG00000006005","Tpr"
"7",1958.60456222398,1.61379247410106,0.190758256287058,8.59718234152577,8.1697126288601e-18,1.67385740747302e-14,"ENSMUSG00000030213.12","ENSMUSG00000030213","Atf7ip"
"8",854.2494869777,-1.79694423707252,0.206245977681483,-8.5667592293111,1.06438119663732e-17,1.90816939027156e-14,"ENSMUSG00000030281.16","ENSMUSG00000030281","Il17rc"
"9",559.52283509104,1.69828621366708,0.215673990194145,8.34796777201985,6.94475173151033e-17,1.10668477037023e-13,"ENSMUSG00000032558.19","ENSMUSG00000032558","Nphp3"
"10",893.819214446926,1.62003808266057,0.221049726086563,8.13201634833034,4.22207861512442e-16,6.05530514981144e-13,"ENSMUSG00000039801.7","ENSMUSG00000039801","Cplane1"
"11",3080.04691988782,1.43008768012675,0.177779050696056,8.11292321126908,4.94163014655597e-16,6.44298723290052e-13,"ENSMUSG00000020740.13","ENSMUSG00000020740","Gga3"
"12",255.183318132124,-2.96885096113678,0.222183410082716,-7.90805727169001,2.61436542811844e-15,3.12460241417289e-12,"ENSMUSG00000066724.3","ENSMUSG00000066724","Gm10175"
"13",5685.62186758309,1.43687207053707,0.19314686572519,7.55806413879085,4.09112314761308e-14,4.51345293715898e-11,"ENSMUSG00000025746.11","ENSMUSG00000025746","Il6"
"14",409.310259614317,1.42936821445611,0.22314874413083,7.32534514462426,2.38284639335387e-13,2.44105592667723e-10,"ENSMUSG00000090015.8","ENSMUSG00000090015","Gm15446"
"15",130.385637001815,-1.90158387629129,0.209359754333122,-7.02118889716998,2.19988191748074e-12,2.10338043070058e-09,"ENSMUSG00000101878.1","ENSMUSG00000101878","Gm8203"
"16",16044.776118697,1.14773598072822,0.166125531139155,6.94133525972844,3.88410997406891e-12,3.48161907800602e-09,"ENSMUSG00000003847.16","ENSMUSG00000003847","Nfat5"
"17",1476.91627743903,1.29818471368174,0.201610021246078,6.56651026527703,5.15080981954228e-11,4.17689300355044e-08,"ENSMUSG00000026933.17","ENSMUSG00000026933","Camsap1"
"18",354.449869538968,1.32126093097383,0.223201559513363,6.56388878117487,5.2422307951407e-11,4.17689300355044e-08,"ENSMUSG00000034612.7","ENSMUSG00000034612","Chst11"
"19",593.236874539147,1.36159232748975,0.21554588560984,6.54490322851844,5.95339231664243e-11,4.49387118975188e-08,"ENSMUSG00000018916.5","ENSMUSG00000018916","Csf2"
"20",893.201599321292,3.70351579144314,0.21217507307323,6.27958136462831,3.39485895707838e-10,2.43445335812091e-07,"ENSMUSG00000072940.5","ENSMUSG00000072940","Gm10443"
"21",3307.45914072041,1.11384035766276,0.179767693732677,6.24021379537774,4.36973230702556e-10,2.98431908320765e-07,"ENSMUSG00000034908.16","ENSMUSG00000034908","Sidt2"
"22",76.0582882510587,-1.22815104240055,0.188155712584731,-6.22534736307995,4.80490241616727e-10,3.1323595660305e-07,"ENSMUSG00000067719.5","ENSMUSG00000067719","Gm10221"
"23",254.255878341475,1.14816422444822,0.221873302154239,6.06105111428931,1.35234843780869e-09,8.43277447610966e-07,"ENSMUSG00000020589.17","ENSMUSG00000020589","Fam49a"
"24",2991.35747632222,1.10404812635812,0.185434662748154,6.0056471604333,1.90570222996524e-09,1.1388158909234e-06,"ENSMUSG00000000743.9","ENSMUSG00000000743","Chmp1a"
"25",2073.06838743604,1.10762532124808,0.186456865787954,5.98983796100179,2.10050210589258e-09,1.20501604810846e-06,"ENSMUSG00000005583.16","ENSMUSG00000005583","Mef2c"
"26",436.677191377931,1.24495713191274,0.218134307718739,5.97711837659921,2.27119166514923e-09,1.25282426390655e-06,"ENSMUSG00000035776.14","ENSMUSG00000035776","Cd99l2"
"27",278.068624346285,1.18598913955268,0.223191948798567,5.94105663744579,2.83190743423146e-09,1.50426727487954e-06,"ENSMUSG00000097412.2","ENSMUSG00000097412","1810014B01Rik"
"28",305.890210387251,1.80988350466042,0.22269863053423,5.91334458364659,3.35229835145019e-09,1.71709510558923e-06,"ENSMUSG00000034266.6","ENSMUSG00000034266","Batf"
"29",800.268157346567,1.17106033072454,0.205670072405488,5.80834994846386,6.3091537758244e-09,3.12020287768529e-06,"ENSMUSG00000045917.17","ENSMUSG00000045917","Tmem268"
"30",57.7422106722324,-0.962523926863679,0.174576910880628,-5.78713684359904,7.15962519008128e-09,3.42277814920486e-06,"ENSMUSG00000090136.4","ENSMUSG00000090136","Gm10177"
